net,length_um
_07547_,71.92
cur_mb_mem\[151\]\[2\],71.88
cur_mb_mem\[235\]\[5\],71.88
clknet_leaf_86_clk,71.88
_06567_,71.82
_08063_,71.78
_06553_,71.72
cur_mb_mem\[240\]\[1\],71.62
_08202_,71.6
clknet_leaf_252_clk,71.5
clknet_leaf_265_clk,71.44
cur_mb_mem\[243\]\[1\],71.395
_06983_,71.38
_06790_,71.14
cur_mb_mem\[233\]\[2\],71.12
cur_mb_mem\[32\]\[4\],71.1
clknet_leaf_250_clk,71.02
cur_mb_mem\[96\]\[5\],71
cur_mb_mem\[83\]\[5\],70.96
cur_mb_mem\[232\]\[1\],70.94
cur_mb_mem\[234\]\[0\],70.93
_07505_,70.9
cur_mb_mem\[238\]\[0\],70.9
cur_mb_mem\[236\]\[2\],70.8
cur_mb_mem\[238\]\[3\],70.78
_07917_,70.73
_07124_,70.68
net259,70.66
cur_mb_mem\[198\]\[0\],70.54
clknet_leaf_32_clk,70.48
_05299_,70.42
_04939_,70.16
clknet_leaf_151_clk,70.16
cur_mb_mem\[83\]\[1\],70.1
clknet_leaf_268_clk,70.08
_08384_,70.06
_07053_,70.02
cur_mb_mem\[195\]\[5\],69.96
clknet_leaf_174_clk,69.86
_06684_,69.74
_08376_,69.68
cur_mb_mem\[31\]\[2\],69.68
_07551_,69.64
_06454_,69.58
_08037_,69.48
clknet_leaf_162_clk,69.48
clknet_leaf_8_clk,69.28
_07780_,69.24
_06694_,68.98
clknet_leaf_386_clk,68.98
clknet_leaf_374_clk,68.96
clknet_leaf_119_clk,68.9
_08488_,68.84
_06922_,68.74
_08052_,68.7
_08339_,68.64
clknet_leaf_127_clk,68.61
clknet_leaf_164_clk,68.5
clknet_leaf_3_clk,68.44
net2006,68.4
_06559_,68.36
cur_mb_mem\[128\]\[7\],68.32
clknet_leaf_343_clk,68.31
cur_mb_mem\[168\]\[5\],68.3
_07447_,68.26
cur_mb_mem\[13\]\[3\],68.22
_07822_,68.2
clknet_leaf_349_clk,68.2
cur_mb_mem\[83\]\[4\],68.14
_08322_,68.1
clknet_leaf_324_clk,68.02
_05215_,67.96
_06672_,67.94
clknet_leaf_156_clk,67.87
_05802_,67.86
clknet_leaf_275_clk,67.84
_07286_,67.82
clknet_leaf_217_clk,67.82
_05891_,67.8
_06642_,67.7
cur_mb_mem\[207\]\[2\],67.7
_06190_,67.68
net234,67.68
clknet_leaf_247_clk,67.64
clknet_leaf_348_clk,67.64
clknet_leaf_138_clk,67.56
clknet_leaf_180_clk,67.52
_07744_,67.36
clknet_leaf_212_clk,67.34
_07565_,67.32
cur_mb_mem\[158\]\[7\],67.28
_07496_,67.24
_07018_,67.2
_07877_,67.2
clknet_leaf_166_clk,67.155
cur_mb_mem\[214\]\[2\],67.14
_06715_,67.12
clknet_leaf_9_clk,67.1
_07665_,67.02
_07401_,66.915
cur_mb_mem\[156\]\[0\],66.86
min_sad_reg\[2\],66.85
clknet_leaf_47_clk,66.8
cur_mb_mem\[237\]\[6\],66.78
clknet_leaf_309_clk,66.76
_06691_,66.72
cur_mb_mem\[234\]\[4\],66.72
cur_mb_mem\[100\]\[5\],66.66
clknet_leaf_37_clk,66.62
cur_mb_mem\[234\]\[1\],66.58
cur_mb_mem\[96\]\[2\],66.48
_04458_,66.47
clknet_leaf_115_clk,66.4
_06502_,66.22
cur_mb_mem\[237\]\[3\],66.22
clknet_leaf_58_clk,66.19
_02668_,66.17
clknet_leaf_97_clk,65.98
_05612_,65.93
clknet_leaf_238_clk,65.91
_04739_,65.88
cur_mb_mem\[70\]\[5\],65.86
clknet_leaf_1_clk,65.84
clknet_leaf_310_clk,65.84
cur_mb_mem\[206\]\[5\],65.82
clknet_leaf_35_clk,65.82
clknet_leaf_243_clk,65.74
_02407_,65.7
clknet_leaf_249_clk,65.68
clknet_leaf_116_clk,65.64
clknet_leaf_229_clk,65.62
clknet_leaf_371_clk,65.52
cur_mb_mem\[97\]\[2\],65.48
cur_mb_mem\[242\]\[4\],65.46
_07201_,65.42
_08833_,65.38
clknet_leaf_126_clk,65.32
clknet_leaf_188_clk,65.3
clknet_leaf_196_clk,65.26
clknet_leaf_392_clk,65.22
cur_mb_mem\[247\]\[7\],65.06
cur_mb_mem\[96\]\[4\],65.06
_07224_,64.98
_05053_,64.94
clknet_leaf_301_clk,64.88
_07282_,64.86
clknet_leaf_109_clk,64.8
clknet_leaf_105_clk,64.76
clknet_leaf_121_clk,64.66
_03934_,64.64
clknet_leaf_361_clk,64.64
clknet_leaf_53_clk,64.6
clknet_leaf_342_clk,64.57
clknet_leaf_59_clk,64.48
cur_mb_mem\[70\]\[4\],64.44
clknet_leaf_314_clk,64.38
_07963_,64.36
net273,64.33
_07714_,64.26
_07849_,64.24
clknet_leaf_368_clk,64.22
cur_mb_mem\[224\]\[3\],64.12
clknet_leaf_272_clk,64.1
cur_mb_mem\[228\]\[5\],64.08
clknet_leaf_253_clk,64.06
clknet_leaf_13_clk,64
cur_mb_mem\[26\]\[2\],63.96
_05020_,63.9
clknet_leaf_230_clk,63.84
_08110_,63.66
_07212_,63.64
cur_mb_mem\[151\]\[6\],63.64
clknet_leaf_333_clk,63.64
_05120_,63.62
_06173_,63.62
cur_mb_mem\[104\]\[2\],63.5
_08429_,63.48
_03981_,63.46
clknet_leaf_76_clk,63.46
clknet_leaf_251_clk,63.42
cur_mb_mem\[228\]\[4\],63.4
_04829_,63.38
point_cnt\[0\],63.36
_08475_,63.26
clknet_leaf_192_clk,63.26
_06525_,63.16
_07226_,63.14
_06228_,63.02
cur_mb_mem\[27\]\[0\],63.02
clknet_leaf_344_clk,62.96
_08338_,62.955
clknet_leaf_338_clk,62.91
cur_mb_mem\[31\]\[4\],62.84
clknet_leaf_327_clk,62.78
clknet_leaf_356_clk,62.75
clknet_leaf_291_clk,62.7
clknet_leaf_305_clk,62.66
cur_mb_mem\[39\]\[7\],62.64
cur_mb_mem\[4\]\[3\],62.6
clknet_leaf_50_clk,62.56
cur_mb_mem\[124\]\[3\],62.52
cur_mb_mem\[31\]\[5\],62.52
clknet_leaf_332_clk,62.5
clknet_leaf_51_clk,62.32
_07653_,62.3
clknet_leaf_306_clk,62.3
_04998_,62.24
_04440_,62.22
_06690_,62.2
clknet_leaf_233_clk,62.08
cur_mb_mem\[13\]\[2\],62.06
_07280_,61.96
clknet_leaf_282_clk,61.96
clknet_leaf_137_clk,61.955
clknet_leaf_259_clk,61.94
clknet_leaf_370_clk,61.84
_08478_,61.7
_06548_,61.68
_08171_,61.68
cur_mb_mem\[241\]\[5\],61.6
center_y\[6\],61.54
_06609_,61.46
cur_mb_mem\[30\]\[6\],61.46
_07821_,61.44
clknet_leaf_31_clk,61.42
clknet_leaf_110_clk,61.4
cur_mb_mem\[33\]\[6\],61.385
_06724_,61.38
cur_mb_mem\[233\]\[3\],61.36
_06446_,61.34
_07959_,61.28
clknet_leaf_181_clk,61.23
clknet_leaf_228_clk,61.22
_07530_,61.18
_05423_,61.16
_08324_,61.12
_05051_,61.1
clknet_leaf_389_clk,61.06
_08344_,61.04
_05884_,61
_07928_,61
cur_mb_mem\[128\]\[1\],61
clknet_leaf_125_clk,61
_05707_,60.96
cur_mb_mem\[120\]\[4\],60.96
clknet_leaf_149_clk,60.94
cur_mb_mem\[25\]\[2\],60.92
clknet_leaf_273_clk,60.92
clknet_leaf_323_clk,60.92
clknet_leaf_315_clk,60.88
cur_mb_mem\[217\]\[2\],60.82
cur_mb_mem\[27\]\[6\],60.765
_07113_,60.76
_05424_,60.7
clknet_leaf_274_clk,60.66
_04601_,60.58
_07513_,60.56
_08186_,60.52
clknet_leaf_159_clk,60.44
clknet_leaf_25_clk,60.42
cur_mb_mem\[29\]\[3\],60.38
_07637_,60.36
_04937_,60.34
cur_mb_mem\[129\]\[7\],60.34
_05940_,60.3
cur_mb_mem\[234\]\[3\],60.22
net2000,60.22
clknet_leaf_298_clk,60.08
clknet_leaf_103_clk,59.98
clknet_leaf_373_clk,59.98
_04835_,59.965
clknet_leaf_179_clk,59.96
_07461_,59.92
cur_mb_mem\[204\]\[5\],59.88
_04764_,59.83
_07225_,59.82
cur_mb_mem\[234\]\[6\],59.82
clknet_leaf_376_clk,59.82
cur_mb_mem\[227\]\[6\],59.72
_07142_,59.68
_07737_,59.66
clknet_leaf_340_clk,59.66
clknet_leaf_154_clk,59.64
clknet_leaf_104_clk,59.6
cur_mb_mem\[213\]\[7\],59.52
clknet_leaf_94_clk,59.48
cur_mb_mem\[235\]\[7\],59.46
_05054_,59.44
clknet_leaf_351_clk,59.42
clknet_leaf_176_clk,59.355
_08508_,59.34
clknet_leaf_30_clk,59.34
_06391_,59.32
clknet_leaf_68_clk,59.32
_07408_,59.28
_05182_,59.26
cur_mb_mem\[23\]\[6\],59.25
_06095_,59.22
_06139_,59.14
cur_mb_mem\[107\]\[7\],59.1
cur_mb_mem\[240\]\[4\],59.1
clknet_leaf_118_clk,59.08
_08328_,59.06
clknet_leaf_132_clk,58.94
clknet_leaf_42_clk,58.935
clknet_leaf_264_clk,58.68
_07723_,58.6
_04641_,58.58
clknet_leaf_270_clk,58.54
cur_mb_mem\[206\]\[1\],58.52
_04744_,58.46
cur_mb_mem\[177\]\[3\],58.4
clknet_leaf_4_clk,58.36
_07835_,58.34
cur_mb_mem\[156\]\[3\],58.32
clknet_leaf_364_clk,58.2
clknet_leaf_394_clk,58.2
clknet_leaf_279_clk,58.18
clknet_leaf_80_clk,58.12
clknet_leaf_64_clk,58.11
_06681_,58.1
clknet_leaf_98_clk,58.06
cur_mb_mem\[11\]\[6\],58.02
cur_mb_mem\[120\]\[2\],58
clknet_leaf_84_clk,57.88
clknet_leaf_14_clk,57.76
_05903_,57.66
clknet_leaf_362_clk,57.64
_06243_,57.58
_08245_,57.56
clknet_leaf_18_clk,57.54
_04977_,57.535
_06806_,57.42
clknet_leaf_133_clk,57.4
clknet_leaf_339_clk,57.3
clknet_leaf_157_clk,57.275
clknet_leaf_54_clk,57.24
cur_mb_mem\[242\]\[5\],57.23
cur_mb_mem\[77\]\[2\],57.2
_06667_,57.14
cur_mb_mem\[236\]\[7\],57.12
clknet_leaf_111_clk,57.1
clknet_leaf_195_clk,57.1
_04806_,56.86
clknet_leaf_382_clk,56.86
clknet_leaf_11_clk,56.84
clknet_leaf_357_clk,56.84
_08029_,56.8
clknet_leaf_311_clk,56.76
clknet_leaf_352_clk,56.72
cur_mb_mem\[11\]\[1\],56.7
clknet_leaf_66_clk,56.6
_06266_,56.545
_08297_,56.52
clknet_leaf_89_clk,56.48
_04704_,56.42
clknet_leaf_197_clk,56.4
clknet_leaf_78_clk,56.36
clknet_leaf_113_clk,56.36
_04921_,56.3
cur_mb_mem\[135\]\[0\],56.28
clknet_leaf_330_clk,56.245
_05625_,56.24
_05936_,56.18
cur_mb_mem\[120\]\[3\],56.18
clknet_leaf_158_clk,56.12
cur_mb_mem\[228\]\[2\],56.04
cur_mb_mem\[195\]\[4\],55.9
clknet_leaf_320_clk,55.88
clknet_leaf_101_clk,55.8
clknet_leaf_43_clk,55.785
_04960_,55.78
_07123_,55.76
clknet_leaf_112_clk,55.76
clknet_leaf_87_clk,55.72
_07291_,55.68
cur_mb_mem\[126\]\[5\],55.68
clknet_leaf_191_clk,55.66
clknet_leaf_141_clk,55.64
center_x\[0\],55.58
cur_mb_mem\[155\]\[0\],55.58
_05898_,55.565
cur_mb_mem\[84\]\[2\],55.5
_08235_,55.48
_05019_,55.415
_05880_,55.38
_08143_,55.36
best_cand_x\[0\],55.34
_04972_,55.32
_07802_,55.3
clknet_leaf_215_clk,55.26
clknet_leaf_360_clk,55.19
_06073_,55.18
cur_mb_mem\[54\]\[0\],55.16
cur_mb_mem\[232\]\[5\],55.12
cur_mb_mem\[70\]\[7\],55.1
_06090_,55.02
clknet_leaf_186_clk,55.02
_08334_,54.98
cur_mb_mem\[120\]\[5\],54.94
_06543_,54.89
clknet_leaf_285_clk,54.8
clknet_leaf_69_clk,54.76
clknet_leaf_258_clk,54.74
_05074_,54.73
_07710_,54.68
clknet_leaf_336_clk,54.66
cur_mb_mem\[5\]\[3\],54.64
clknet_leaf_222_clk,54.44
_04653_,54.42
clknet_leaf_23_clk,54.42
clknet_leaf_41_clk,54.38
_07022_,54.36
_06743_,54.31
_05414_,54.3
clknet_leaf_73_clk,54.08
_06551_,53.84
cur_mb_mem\[72\]\[0\],53.8
clknet_leaf_296_clk,53.76
_07772_,53.68
center_x\[1\],53.63
clknet_leaf_33_clk,53.62
cur_mb_mem\[233\]\[0\],53.52
_06471_,53.48
_06552_,53.48
cur_mb_mem\[0\]\[7\],53.42
clknet_leaf_221_clk,53.42
_08189_,53.28
_07379_,53.26
clknet_leaf_198_clk,53.26
clknet_leaf_82_clk,53.22
_07593_,53.16
clknet_leaf_90_clk,53.12
_06060_,53.08
_05169_,53.06
_07779_,52.96
center_y\[5\],52.96
_08519_,52.9
cur_mb_mem\[246\]\[3\],52.86
cur_mb_mem\[242\]\[3\],52.84
clknet_leaf_319_clk,52.82
_04643_,52.76
_07079_,52.74
_04434_,52.65
cur_mb_mem\[79\]\[4\],52.64
cur_mb_mem\[247\]\[2\],52.6
cur_mb_mem\[112\]\[2\],52.56
clknet_leaf_146_clk,52.54
_08131_,52.505
_08480_,52.48
cur_mb_mem\[255\]\[3\],52.48
_06278_,52.46
clknet_leaf_286_clk,52.46
clknet_leaf_318_clk,52.26
cur_mb_mem\[205\]\[1\],52.24
_06308_,52.18
clknet_leaf_379_clk,52.16
clknet_leaf_302_clk,52.12
_06880_,52.08
_07067_,52
clknet_leaf_241_clk,51.96
_08011_,51.94
_04775_,51.8
clknet_leaf_316_clk,51.8
clknet_leaf_231_clk,51.76
_07358_,51.74
_04669_,51.7
clknet_leaf_329_clk,51.64
_08631_,51.61
clknet_leaf_52_clk,51.54
clknet_leaf_359_clk,51.52
_08291_,51.46
_06617_,51.44
_08424_,51.38
clknet_leaf_366_clk,51.36
clknet_leaf_185_clk,51.34
_06346_,51.16
_07199_,51.16
cur_mb_mem\[250\]\[6\],51.16
_07632_,51.04
_04691_,51.02
cur_mb_mem\[31\]\[3\],51
clknet_leaf_182_clk,50.96
_07758_,50.94
clknet_leaf_350_clk,50.94
_06503_,50.9
_07687_,50.835
_07655_,50.82
clknet_leaf_189_clk,50.8
clknet_leaf_283_clk,50.8
_06021_,50.78
_07904_,50.78
_07732_,50.76
clknet_leaf_353_clk,50.74
_06659_,50.62
_08377_,50.5
cur_mb_mem\[236\]\[6\],50.46
_07646_,50.42
clknet_leaf_390_clk,50.4
clknet_leaf_242_clk,50.38
cur_mb_mem\[204\]\[4\],50.34
cur_mb_mem\[234\]\[5\],50.32
cur_mb_mem\[5\]\[2\],50.3
_07260_,50.24
_06286_,50.18
_05346_,50.16
_07443_,50.12
cur_mb_mem\[237\]\[2\],50.12
best_cand_y\[1\],50.04
_06499_,50
clknet_leaf_380_clk,50
_04901_,49.96
net225,49.96
_04839_,49.94
_08463_,49.86
cur_mb_mem\[131\]\[7\],49.84
clknet_leaf_216_clk,49.78
clknet_leaf_240_clk,49.78
clknet_leaf_313_clk,49.755
clknet_leaf_49_clk,49.74
clknet_leaf_341_clk,49.66
cur_mb_mem\[65\]\[6\],49.54
cur_mb_mem\[240\]\[5\],49.52
_06320_,49.36
cur_mb_mem\[232\]\[3\],49.36
_07305_,49.24
min_sad_reg\[9\],49.19
_06513_,49.18
cur_mb_mem\[233\]\[1\],49.16
clknet_leaf_308_clk,49.12
clknet_leaf_347_clk,49.06
_06635_,48.98
cur_mb_mem\[102\]\[6\],48.94
_06549_,48.9
_05848_,48.88
_07960_,48.86
cur_mb_mem\[218\]\[3\],48.82
cur_mb_mem\[126\]\[4\],48.76
clknet_leaf_206_clk,48.76
_07162_,48.72
cur_mb_mem\[115\]\[2\],48.64
cur_mb_mem\[135\]\[2\],48.48
cur_mb_mem\[35\]\[2\],48.46
clknet_leaf_184_clk,48.32
_04516_,48.3
_08750_,48.22
_05870_,48.2
cur_mb_mem\[29\]\[2\],48.16
clknet_leaf_328_clk,48.14
_06226_,47.965
_06041_,47.88
_08355_,47.78
_07931_,47.76
cur_mb_mem\[238\]\[2\],47.64
_08346_,47.62
clknet_leaf_106_clk,47.58
cur_mb_mem\[226\]\[5\],47.56
_07320_,47.54
_06947_,47.52
_08046_,47.5
center_y\[4\],47.48
_05229_,47.47
_04753_,47.46
_04520_,47.42
_08278_,47.36
_06907_,47.34
_07888_,47.24
_07240_,47.22
clknet_leaf_163_clk,47.2
clknet_leaf_278_clk,47.06
_07458_,47.04
cur_mb_mem\[146\]\[7\],46.965
_07301_,46.96
pixel_cnt\[0\],46.88
_07261_,46.74
_08471_,46.74
_07436_,46.6
cur_mb_mem\[115\]\[0\],46.5
clknet_leaf_140_clk,46.5
_07422_,46.48
min_sad_reg\[5\],46.41
net160,46.36
cur_mb_mem\[247\]\[3\],46.22
clknet_leaf_288_clk,46.22
cur_mb_mem\[238\]\[6\],46.18
_07974_,46.1
clknet_leaf_7_clk,46.08
cur_mb_mem\[111\]\[1\],46.02
_07034_,45.94
_05090_,45.92
clknet_leaf_12_clk,45.9
_07791_,45.86
cur_mb_mem\[138\]\[6\],45.82
cur_mb_mem\[66\]\[0\],45.78
clknet_leaf_321_clk,45.75
_08826_,45.74
_06821_,45.72
_06554_,45.68
_07587_,45.68
cur_mb_mem\[83\]\[0\],45.64
_04981_,45.5
cur_mb_mem\[2\]\[1\],45.42
cur_mb_mem\[231\]\[4\],45.38
_06662_,45.34
cur_mb_mem\[230\]\[1\],45.34
center_y\[3\],45.28
_06614_,45.22
net1996,45.18
_07716_,45.14
clknet_leaf_178_clk,45.08
clknet_leaf_208_clk,45.04
cur_mb_mem\[214\]\[3\],45.02
_06568_,44.94
_07562_,44.94
clknet_leaf_393_clk,44.94
_08749_,44.9
_07913_,44.7
clknet_leaf_203_clk,44.66
_06926_,44.62
cur_mb_mem\[241\]\[4\],44.6
_07536_,44.54
clknet_leaf_204_clk,44.5
_07829_,44.34
_08274_,44.34
_07719_,44.32
cur_mb_mem\[231\]\[1\],44.3
net231,44.3
clknet_leaf_171_clk,44.26
_07686_,44.2
_04713_,44.12
_07568_,44.08
cur_mb_mem\[140\]\[3\],44.02
cur_mb_mem\[142\]\[6\],43.98
cur_mb_mem\[232\]\[4\],43.96
_07014_,43.84
_06043_,43.8
_08083_,43.8
cur_mb_mem\[119\]\[5\],43.78
cur_mb_mem\[238\]\[1\],43.76
_07830_,43.72
cur_mb_mem\[236\]\[1\],43.7
_04710_,43.6
clknet_leaf_209_clk,43.54
cur_mb_mem\[226\]\[4\],43.42
cur_mb_mem\[230\]\[0\],43.34
_07435_,43.26
_06954_,43.24
cur_mb_mem\[105\]\[2\],43.18
_04987_,43.1
clknet_leaf_224_clk,43.04
_04915_,43
_06636_,43
cur_mb_mem\[153\]\[5\],42.94
_08461_,42.935
_07416_,42.92
cur_mb_mem\[131\]\[3\],42.92
cur_mb_mem\[205\]\[2\],42.92
state\[3\],42.895
cur_mb_mem\[112\]\[0\],42.88
_06720_,42.86
_08224_,42.86
_04903_,42.8
_05311_,42.78
cur_mb_mem\[143\]\[3\],42.74
cur_mb_mem\[57\]\[2\],42.56
_08737_,42.54
_07387_,42.52
_06855_,42.435
_06184_,42.4
clknet_leaf_211_clk,42.38
cur_mb_mem\[119\]\[4\],42.28
_08023_,42.2
_08258_,42.2
_07298_,42.02
cur_mb_mem\[164\]\[1\],42
_07820_,41.94
clknet_leaf_218_clk,41.92
clknet_leaf_71_clk,41.9
cur_mb_mem\[206\]\[4\],41.88
cur_mb_mem\[200\]\[3\],41.87
cur_mb_mem\[242\]\[0\],41.86
_05481_,41.84
_06431_,41.84
cur_mb_mem\[177\]\[0\],41.84
cur_mb_mem\[12\]\[2\],41.76
_07481_,41.72
clknet_leaf_153_clk,41.72
cur_mb_mem\[151\]\[3\],41.58
_04608_,41.5
_05887_,41.5
_05366_,41.44
_04462_,41.34
_08356_,41.32
_05158_,41.28
_07615_,41.28
cur_mb_mem\[238\]\[7\],41.28
cur_mb_mem\[241\]\[3\],41.24
cur_mb_mem\[91\]\[1\],41.2
_07198_,41.16
_07583_,41.16
_07901_,41.12
cur_mb_mem\[205\]\[4\],41.12
clknet_leaf_335_clk,41.115
_07558_,41.1
cur_mb_mem\[135\]\[7\],41.1
cur_mb_mem\[156\]\[2\],41.06
_07935_,40.94
_05670_,40.82
_05696_,40.8
cur_mb_mem\[157\]\[2\],40.8
_06866_,40.76
_06085_,40.74
cur_mb_mem\[122\]\[4\],40.7
_05367_,40.62
clknet_leaf_10_clk,40.62
_07397_,40.48
_04540_,40.46
_04969_,40.38
clknet_leaf_160_clk,40.34
_06522_,40.24
_05353_,40.2
_04910_,39.92
_06657_,39.9
cur_mb_mem\[142\]\[7\],39.84
_04451_,39.82
_06857_,39.82
cur_mb_mem\[120\]\[1\],39.82
_07528_,39.78
clknet_leaf_388_clk,39.78
_07054_,39.72
_06668_,39.62
_07009_,39.6
_03816_,39.56
cur_mb_mem\[245\]\[6\],39.5
cur_mb_mem\[186\]\[3\],39.4
cur_mb_mem\[235\]\[6\],39.34
_06386_,39.32
clknet_leaf_155_clk,39.08
cur_mb_mem\[155\]\[3\],38.94
cur_mb_mem\[85\]\[2\],38.92
cur_mb_mem\[120\]\[0\],38.84
_06358_,38.82
cur_mb_mem\[1\]\[4\],38.78
_08853_,38.76
_05222_,38.7
_04766_,38.68
_05926_,38.62
cur_mb_mem\[131\]\[0\],38.52
_04622_,38.36
_06600_,38.36
cur_mb_mem\[51\]\[4\],38.36
clknet_leaf_214_clk,38.36
_04696_,38.32
clknet_leaf_165_clk,38.3
_07702_,38.26
clknet_leaf_169_clk,38.26
_06183_,38.18
cur_mb_mem\[188\]\[2\],38.04
clknet_leaf_107_clk,38.04
cur_mb_mem\[80\]\[4\],37.96
clknet_leaf_167_clk,37.94
clknet_leaf_152_clk,37.9
cur_mb_mem\[56\]\[6\],37.88
_04938_,37.86
_06984_,37.82
_07699_,37.62
_08430_,37.62
cur_mb_mem\[51\]\[5\],37.54
cur_mb_mem\[114\]\[4\],37.44
cur_mb_mem\[37\]\[2\],37.44
_07068_,37.38
_07549_,37.3
cur_mb_mem\[247\]\[0\],37.24
_04735_,37.16
_05397_,37.16
_07767_,37.06
_08700_,37.02
cur_mb_mem\[5\]\[0\],37.02
_04917_,37
_07811_,37
pixel_cnt\[1\],37
_07292_,36.96
cur_mb_mem\[182\]\[1\],36.96
cur_mb_mem\[205\]\[5\],36.96
_07126_,36.92
cur_mb_mem\[36\]\[1\],36.88
cur_mb_mem\[52\]\[6\],36.88
_06678_,36.86
cur_mb_mem\[147\]\[4\],36.84
net148,36.73
cur_mb_mem\[154\]\[0\],36.7
_06497_,36.675
_03797_,36.64
_07507_,36.64
_07898_,36.64
cur_mb_mem\[151\]\[0\],36.62
_07474_,36.54
_07747_,36.54
_04714_,36.52
cur_mb_mem\[26\]\[5\],36.5
clknet_leaf_334_clk,36.48
cur_mb_mem\[4\]\[5\],36.44
_06200_,36.42
cur_mb_mem\[114\]\[5\],36.42
_07491_,36.38
_06653_,36.36
cur_mb_mem\[2\]\[4\],36.24
_05055_,36.22
cur_mb_mem\[45\]\[5\],36.2
_07157_,36.18
_04541_,36.155
_06469_,36.06
_07215_,36.06
cur_mb_mem\[122\]\[5\],36.04
cur_mb_mem\[232\]\[2\],36.04
shex_load,36.04
cur_mb_mem\[157\]\[5\],36
_07788_,35.96
_04783_,35.88
_04470_,35.86
cur_mb_mem\[12\]\[3\],35.86
_05391_,35.78
cur_mb_mem\[33\]\[1\],35.78
_05227_,35.68
_07679_,35.625
_05392_,35.6
_07324_,35.6
_07466_,35.58
cur_mb_mem\[97\]\[0\],35.56
cur_mb_mem\[85\]\[0\],35.52
_08210_,35.5
cur_mb_mem\[196\]\[7\],35.48
_04879_,35.44
cur_mb_mem\[30\]\[2\],35.4
_07213_,35.36
_04907_,35.34
_07090_,35.325
cur_mb_mem\[105\]\[6\],35.325
_04767_,35.3
_04597_,35.28
cur_mb_mem\[157\]\[4\],35.28
_04854_,35.26
_06194_,35.26
_07050_,35.26
cur_mb_mem\[143\]\[2\],35.24
_05214_,35.18
_05122_,35.14
cur_mb_mem\[59\]\[7\],35.12
min_sad_reg\[11\],35.07
_06699_,35.02
_05756_,34.98
_08051_,34.94
clknet_leaf_391_clk,34.92
cur_mb_mem\[30\]\[3\],34.86
_04872_,34.82
_08755_,34.82
cur_mb_mem\[220\]\[3\],34.82
clknet_leaf_290_clk,34.8
_04793_,34.78
_05668_,34.76
shex_center_y\[0\],34.73
_06709_,34.72
cur_mb_mem\[192\]\[4\],34.65
pixel_cnt\[6\],34.64
cur_mb_mem\[233\]\[4\],34.6
_08447_,34.58
cur_mb_mem\[219\]\[0\],34.56
_05824_,34.52
clknet_leaf_129_clk,34.48
cur_mb_mem\[108\]\[2\],34.42
cur_mb_mem\[150\]\[3\],34.4
_05703_,34.38
_07894_,34.38
_05304_,34.34
cur_mb_mem\[227\]\[3\],34.34
cur_mb_mem\[72\]\[2\],34.3
_07860_,34.28
_08694_,34.28
cur_mb_mem\[147\]\[5\],34.28
_07164_,34.24
_04850_,34.175
net310,34.16
_07295_,34.14
cur_mb_mem\[245\]\[7\],34.14
_08008_,34.13
_06532_,34.04
_06700_,34.04
cur_mb_mem\[229\]\[5\],34.04
cur_mb_mem\[233\]\[5\],34.02
_04681_,34
cur_mb_mem\[216\]\[3\],33.96
_07344_,33.9
clknet_leaf_207_clk,33.88
cur_mb_mem\[27\]\[5\],33.8
_05482_,33.7
_07603_,33.7
cur_mb_mem\[67\]\[4\],33.7
_05744_,33.66
net1597,33.66
cur_mb_mem\[159\]\[5\],33.64
cur_mb_mem\[249\]\[6\],33.64
cur_mb_mem\[74\]\[1\],33.6
clknet_leaf_237_clk,33.58
_08452_,33.57
_07552_,33.54
cur_mb_mem\[45\]\[4\],33.54
_05301_,33.5
cur_mb_mem\[60\]\[5\],33.5
cur_mb_mem\[74\]\[6\],33.44
_07952_,33.36
_06310_,33.34
_06498_,33.34
_08698_,33.34
_06644_,33.32
_05471_,33.28
net306,33.28
cur_mb_mem\[130\]\[7\],33.26
cur_mb_mem\[243\]\[5\],33.24
pixel_cnt\[5\],33.24
cur_mb_mem\[28\]\[4\],33.2
_05642_,33.14
cur_mb_mem\[157\]\[0\],33.14
cur_mb_mem\[27\]\[4\],33.14
net265,33.14
clknet_leaf_213_clk,33.08
best_cand_x\[5\],33.04
_05617_,33
_07540_,33
_06536_,32.96
cur_mb_mem\[151\]\[5\],32.94
_08827_,32.92
_05338_,32.89
cur_mb_mem\[243\]\[0\],32.7
point_cnt\[3\],32.7
_08059_,32.69
_05049_,32.66
_08348_,32.66
_05814_,32.63
_07793_,32.58
_06589_,32.54
cur_mb_mem\[224\]\[5\],32.54
cur_mb_mem\[118\]\[1\],32.52
_04715_,32.5
_06523_,32.46
_05349_,32.42
_07374_,32.4
_07595_,32.34
cur_mb_mem\[108\]\[0\],32.34
clknet_leaf_378_clk,32.32
_04866_,32.3
_04906_,32.3
cur_mb_mem\[224\]\[4\],32.3
cur_mb_mem\[123\]\[6\],32.26
_08840_,32.235
_08775_,32.22
cur_mb_mem\[114\]\[2\],32.06
cur_mb_mem\[143\]\[0\],32.02
_08504_,32
cur_mb_mem\[65\]\[5\],31.92
clknet_leaf_225_clk,31.92
_06156_,31.86
_04918_,31.845
_06995_,31.78
cur_mb_mem\[222\]\[0\],31.78
cur_mb_mem\[211\]\[5\],31.68
pixel_cnt\[7\],31.66
net285,31.66
cur_mb_mem\[213\]\[3\],31.64
_04890_,31.54
_05766_,31.5
_04659_,31.48
_06658_,31.48
_05760_,31.46
clknet_leaf_5_clk,31.38
