net,length_um
_06305_,843.14
_07137_,841.75
_06367_,839.77
_02709_,838.875
_06096_,838.53
net161,838.4
_02220_,837.26
_02730_,835.59
_03579_,834.69
_02720_,833.88
_03478_,832.85
_06830_,832.55
_09023_,832.44
_02209_,832.27
_02386_,828.22
_03279_,827.755
_02341_,824.2
_03548_,823.1
_08901_,822.57
_09017_,822.36
_02981_,822.12
_06094_,821.8
_06057_,819.54
net14,819.32
_02979_,819.16
_06044_,818.595
_05975_,816.11
_02826_,812.36
_05923_,811.61
_06165_,810.69
_02662_,809.7
_09254_,808.21
_02699_,807.52
_04430_,804.3
_06121_,803.75
_06091_,802.45
_02525_,801.92
net59,800.21
_02344_,800.17
_02348_,799.47
_07078_,799.31
net42,799.09
_06132_,798.605
_07672_,797.94
_02830_,797.92
_06137_,796.975
_09301_,795.98
_02652_,795.93
_06019_,795.18
_02852_,794.47
clknet_2_0_0_clk,793.87
_06150_,792.77
_03337_,790.94
_02207_,789.82
_03468_,788.66
_06134_,787.21
_03577_,785.96
net156,785.64
_02288_,783.17
_09036_,781.06
net89,780.94
_02951_,778.5
_08536_,778.38
_09011_,777.95
_06475_,777.69
_02355_,777.44
_07235_,775.94
net63,772.73
_06490_,770.52
net112,770.16
_03788_,769.785
_05971_,768.365
_03571_,766.695
_06119_,766.62
_02195_,766.2
_06122_,765.655
_06172_,764.95
_02660_,762.89
_06240_,761.76
_03347_,760.16
_05059_,757.815
_06485_,756.06
net117,752.25
_09057_,751.65
_07708_,750.45
net39,750.24
clknet_2_1_0_clk,749.15
_06856_,747.94
_03090_,747.42
_06033_,745.6
_08940_,745.3
_08530_,744.66
_06221_,744.37
_08960_,744.27
_06479_,743.35
_06195_,741.685
_04429_,740.9
_06447_,740.855
_03518_,737.34
_02257_,736.72
_05917_,735.82
_03459_,734.21
net71,731.42
_03277_,731.04
_08551_,730.62
_03189_,730.365
_06006_,729.25
_03538_,725.92
_06304_,725.92
_03528_,724.91
_05916_,723.24
_02641_,721.82
_06198_,721.74
_07473_,721.14
_07441_,721.04
min_sad_reg\[7\],720.28
_08922_,720.25
_02543_,720.16
_06842_,720
_03414_,719.82
_02591_,718.62
net166,718.515
_02824_,717.78
_02406_,716.91
net58,715.86
_02820_,715.12
_03428_,714.21
clknet_2_2_0_clk,713.785
net130,713.63
_02318_,713.27
net132,711.88
_06401_,711.535
_07297_,710.735
_06330_,708.77
_06031_,706.275
_03132_,705.68
net145,705.46
_06064_,704.86
_06933_,703.62
_05946_,703.44
_03634_,700.98
_06360_,700.23
net153,699.5
net119,699
_08544_,697.16
clk,696.52
_06003_,696.06
_03100_,695.7
_03586_,695.3
_02277_,694.93
_06158_,694.655
_02983_,694.34
_09114_,694.07
_06456_,693.62
_06170_,693.21
_02988_,690.94
_06500_,690.6
_09151_,688.44
_04361_,687.07
_06174_,685.81
_06141_,684.86
_05912_,683.89
net61,683.89
_04688_,683.34
_07099_,682.01
_02531_,681.3
_06927_,681.025
net116,680.28
_07661_,679.96
min_sad_reg\[10\],679.68
_02397_,678.5
_06008_,677.355
_04411_,677.15
_03068_,675.52
_07550_,674.06
_08896_,674.01
_03683_,673.19
_06679_,672.22
_05939_,671.745
_06069_,671.42
_08989_,670.88
_05918_,670.3
_06144_,670
_06024_,669.775
_06550_,667.96
min_sad_reg\[14\],667.9
_03488_,667.7
_06239_,667.47
net26,666.06
_05959_,665.12
min_sad_reg\[13\],664.385
_06916_,663.99
_06408_,663.74
_09021_,663
net180,662.78
_06092_,660.56
_06692_,660.4
_07405_,660.4
_06133_,659.825
_02786_,658.68
_03615_,658.6
_08554_,658.54
_06077_,658.44
_06923_,657.895
_08271_,657.01
net31,656.94
_06350_,656.38
_09211_,656.06
_04057_,655.62
_08085_,655.58
_06333_,654.095
_03953_,653.12
_06491_,651.815
_06162_,650.45
_02814_,647.36
_06825_,647.17
_03431_,647.08
_03201_,646.94
_03250_,646.14
net76,644.74
_02562_,644.14
_06093_,643.82
_03393_,643.41
_02611_,642.55
_05956_,642.23
_02444_,641
_06428_,640.96
_05928_,639.745
_06301_,638.9
net60,637.97
_09143_,637.87
_08898_,636.9
_02309_,636.39
_03779_,635.96
_03644_,635.06
_06268_,634.905
_08547_,634.77
_05972_,634.44
_09154_,633.51
_06101_,632.92
_02498_,632.07
_05057_,630.52
_03581_,630.49
_06270_,630.305
_06088_,630.02
_03199_,629.46
_03625_,628.88
net12,628.14
_03349_,628.11
_08541_,626.7
_08913_,626.4
net150,625.84
_04049_,625.04
_03102_,624.65
_03685_,624.63
_02203_,624.5
net90,624.035
_05948_,623.33
_05904_,622.94
_09329_,622.04
_02872_,621.1
_03440_,620.1
_03285_,619.88
net136,619.84
_04444_,619.65
_07548_,619.62
net55,619.26
_06404_,619.05
net170,617.94
_06023_,617.485
_08538_,616.3
_04061_,615.09
_05977_,614.78
_06196_,614.77
_02299_,612.6
_06698_,611.61
_09048_,611.535
_02998_,610.54
net93,610.32
_03291_,609.58
_09240_,609.37
_06152_,608.905
_09148_,605.9
_04055_,605.57
_02211_,605.3
_05485_,605.1
_02205_,604.64
net165,604.3
_03283_,604.1
net41,602.12
_06336_,601.88
_06207_,601.13
_02351_,598.59
net107,596.89
_08949_,596.1
net15,595.86
net210,595.54
net126,594.55
_02621_,594.49
net23,594.48
_06349_,593.865
_09145_,593.735
_07850_,593.28
_06246_,592.09
_06138_,591.125
_04443_,590.015
_06283_,589.9
_06849_,589.72
_03770_,589.43
_02631_,588.36
_05947_,588.335
_04391_,587.75
_02489_,586.795
_07815_,585.635
_06118_,585.445
_06997_,585.435
_06269_,585.165
_02601_,584.84
net21,583.14
_03596_,582.61
net64,582.31
